"","Simulation","NumberOfGenes","DEgenes","Upregulated","TopCounts/DE","Correct/TopCounts","Correct/DE"
"1",1,11397,1445,0.615690185921267,0.240799222706423,0.982758620689655,0.236647511970106
"2",2,10457,2321,0.606527184369043,0.256324770854602,0.983193277310924,0.252016791512508
"3",3,9653,1051,0.647002264019102,0.240559722409023,0.976284584980237,0.234854748755054
"4",4,9210,1306,0.592782983975485,0.248827500874839,0.981538461538462,0.24423376239715
"5",5,8405,1699,0.55376905282028,0.263601397679252,0.977678571428571,0.257717437909626
"6",6,12285,3133,0.548907720018178,0.269314280673056,0.98696682464455,0.265804260427317
"7",7,8385,635,0.548934440268204,0.240864361622169,0.980392156862745,0.236141531002127
"8",8,12476,2304,0.55997900441289,0.247733807847883,0.987740805604203,0.244696790939065
"9",9,8531,1835,0.605800692318007,0.289347036607502,0.983050847457627,0.284442849546358
"10",10,9141,769,0.586390061443672,0.23385555506727,0.972222222222222,0.227359567426513
"11",11,12224,3086,0.564988166419789,0.295191537866215,0.985729967069155,0.290979144899958
"12",12,8450,870,0.646732407156378,0.220684896979868,0.963541666666667,0.212639093444144
"13",13,9263,2547,0.513389884959906,0.304578164453136,0.985824742268041,0.300260690472486
"14",14,8283,1527,0.625266748527065,0.25860436151917,0.979746835443038,0.253366804830174
"15",15,8453,1982,0.458254622109234,0.27900082328895,0.992766726943942,0.276982734151236
"16",16,9004,2354,0.59996354370378,0.288417669624419,0.979381443298969,0.282470913549689
"17",17,9877,2867,0.565458925720304,0.275128749122156,0.988593155893536,0.271990398371713
"18",18,10203,947,0.635128521872684,0.251296705446444,0.983193277310924,0.247073231405327
"19",19,8399,1862,0.635241318400949,0.287212418506895,0.979439252336449,0.281307116444136
"20",20,10816,2099,0.550856183795258,0.282403854663112,0.986509274873524,0.278594021885195
"21",21,9364,1559,0.608668565703556,0.241782529276245,0.978779840848806,0.236651865525025
"22",22,10061,2946,0.585188774671406,0.297338658012473,0.982876712328767,0.292247242635547
"23",23,11274,577,0.581770661426708,0.204444227479223,0.957627118644068,0.195781336484341
"24",24,10330,1699,0.495761689264327,0.226008580550003,0.981770833333333,0.22188863246706
"25",25,9760,842,0.622377317212522,0.233804041891207,0.974619289340102,0.227869929152851
"26",26,10053,1474,0.478905993839726,0.248302737279511,0.978142076502732,0.242875355043893
"27",27,10015,2487,0.461067540990189,0.278956769379072,0.978386167146974,0.272927444392493
"28",28,9704,1714,0.504150659404695,0.273577752118526,0.976545842217484,0.267161216354552
